pitch_rad,roll_rad,tau_pitch_nm,tau_roll_nm
-1.047200,-0.418900,162.3502,59.0032
-1.047200,-0.408806,162.2132,59.0992
-1.047200,-0.398712,162.0770,59.2883
-1.047200,-0.388618,161.9415,59.4720
-1.047200,-0.378524,161.8067,59.6504
-1.047200,-0.368430,161.6727,59.8234
-1.047200,-0.358336,161.5395,59.9911
-1.047200,-0.348242,161.4071,60.1536
-1.047200,-0.338148,161.2755,60.3108
-1.047200,-0.328054,161.1448,60.4628
-1.047200,-0.317960,161.0148,60.6096
-1.047200,-0.307866,160.8857,60.7513
-1.047200,-0.297772,160.7574,60.8878
-1.047200,-0.287678,160.6299,61.0192
-1.047200,-0.277584,160.5033,61.1455
-1.047200,-0.267490,160.3776,61.2667
-1.047200,-0.257396,160.2527,61.3829
-1.047200,-0.247302,160.1287,61.4941
-1.047200,-0.237208,160.0056,61.6002
-1.047200,-0.227114,159.8833,61.7014
-1.047200,-0.217020,159.7619,61.7976
-1.047200,-0.206927,159.6414,61.8888
-1.047200,-0.196833,159.5218,61.9752
-1.047200,-0.186739,159.4030,62.0566
-1.047200,-0.176645,159.2851,62.1331
-1.047200,-0.166551,159.1682,62.2047
-1.047200,-0.156457,159.0521,62.2714
-1.047200,-0.146363,158.9368,62.3333
-1.047200,-0.136269,158.8225,62.3903
-1.047200,-0.126175,158.7090,62.4424
-1.047200,-0.116081,158.5965,62.4898
-1.047200,-0.105987,158.4848,62.5322
-1.047200,-0.095893,158.3739,62.5699
-1.047200,-0.085799,158.2640,62.6028
-1.047200,-0.075705,158.1549,62.6308
-1.047200,-0.065611,158.0467,62.6540
-1.047200,-0.055517,157.9394,62.6724
-1.047200,-0.045423,157.8329,62.6860
-1.047200,-0.035329,157.7273,62.6948
-1.047200,-0.025235,157.6225,62.6988
-1.047200,-0.015141,157.5186,62.6979
-1.047200,-0.005047,157.4155,62.6923
-1.047200,0.005047,157.3133,62.6818
-1.047200,0.015141,157.2119,62.6665
-1.047200,0.025235,157.1113,62.6464
-1.047200,0.035329,157.0116,62.6215
-1.047200,0.045423,156.9127,62.5916
-1.047200,0.055517,156.8146,62.5570
-1.047200,0.065611,156.7173,62.5175
-1.047200,0.075705,156.6209,62.4731
-1.047200,0.085799,156.5252,62.4238
-1.047200,0.095893,156.4303,62.3696
-1.047200,0.105987,156.3362,62.3105
-1.047200,0.116081,156.2429,62.2464
-1.047200,0.126175,156.1504,62.1775
-1.047200,0.136269,156.0586,62.1035
-1.047200,0.146363,155.9676,62.0246
-1.047200,0.156457,155.8774,61.9406
-1.047200,0.166551,155.7879,61.8516
-1.047200,0.176645,155.6991,61.7576
-1.047200,0.186739,155.6111,61.6586
-1.047200,0.196833,155.5238,61.5544
-1.047200,0.206927,155.4372,61.4451
-1.047200,0.217020,155.3514,61.3307
-1.047200,0.227114,155.2662,61.2111
-1.047200,0.237208,155.1817,61.0863
-1.047200,0.247302,155.0979,60.9563
-1.047200,0.257396,155.0148,60.8210
-1.047200,0.267490,154.9324,60.6805
-1.047200,0.277584,154.8506,60.5347
-1.047200,0.287678,154.7694,60.3835
-1.047200,0.297772,154.6890,60.2269
-1.047200,0.307866,154.6091,60.0650
-1.047200,0.317960,154.5299,59.8976
-1.047200,0.328054,154.4512,59.7247
-1.047200,0.338148,154.3732,59.5463
-1.047200,0.348242,154.2958,59.3624
-1.047200,0.358336,154.2190,59.1729
-1.047200,0.368430,154.1427,58.9778
-1.047200,0.378524,154.0670,58.7770
-1.047200,0.388618,153.9918,58.5706
-1.047200,0.398712,153.9172,58.3584
-1.047200,0.408806,153.8432,58.1404
-1.047200,0.418900,153.7696,58.0300
-1.037186,-0.418900,162.4375,59.2237
-1.037186,-0.408806,162.3018,59.3209
-1.037186,-0.398712,162.1668,59.5124
-1.037186,-0.388618,162.0325,59.6985
-1.037186,-0.378524,161.8991,59.8792
-1.037186,-0.368430,161.7664,60.0546
-1.037186,-0.358336,161.6345,60.2247
-1.037186,-0.348242,161.5035,60.3894
-1.037186,-0.338148,161.3732,60.5489
-1.037186,-0.328054,161.2438,60.7032
-1.037186,-0.317960,161.1153,60.8522
-1.037186,-0.307866,160.9876,60.9960
-1.037186,-0.297772,160.8607,61.1347
-1.037186,-0.287678,160.7347,61.2683
-1.037186,-0.277584,160.6096,61.3967
-1.037186,-0.267490,160.4853,61.5200
-1.037186,-0.257396,160.3619,61.6383
-1.037186,-0.247302,160.2394,61.7515
-1.037186,-0.237208,160.1178,61.8596
-1.037186,-0.227114,159.9971,61.9628
-1.037186,-0.217020,159.8773,62.0609
-1.037186,-0.206927,159.7584,62.1541
-1.037186,-0.196833,159.6404,62.2423
-1.037186,-0.186739,159.5233,62.3255
-1.037186,-0.176645,159.4071,62.4038
-1.037186,-0.166551,159.2918,62.4772
-1.037186,-0.156457,159.1774,62.5457
-1.037186,-0.146363,159.0639,62.6093
-1.037186,-0.136269,158.9513,62.6680
-1.037186,-0.126175,158.8396,62.7218
-1.037186,-0.116081,158.7289,62.7707
-1.037186,-0.105987,158.6190,62.8147
-1.037186,-0.095893,158.5100,62.8539
-1.037186,-0.085799,158.4019,62.8883
-1.037186,-0.075705,158.2947,62.9178
-1.037186,-0.065611,158.1885,62.9424
-1.037186,-0.055517,158.0831,62.9622
-1.037186,-0.045423,157.9786,62.9772
-1.037186,-0.035329,157.8749,62.9873
-1.037186,-0.025235,157.7722,62.9925
-1.037186,-0.015141,157.6703,62.9929
-1.037186,-0.005047,157.5693,62.9885
-1.037186,0.005047,157.4692,62.9792
-1.037186,0.015141,157.3700,62.9650
-1.037186,0.025235,157.2716,62.9460
-1.037186,0.035329,157.1740,62.9221
-1.037186,0.045423,157.0773,62.8933
-1.037186,0.055517,156.9815,62.8596
-1.037186,0.065611,156.8865,62.8210
-1.037186,0.075705,156.7923,62.7775
-1.037186,0.085799,156.6990,62.7290
-1.037186,0.095893,156.6065,62.6757
-1.037186,0.105987,156.5147,62.6173
-1.037186,0.116081,156.4239,62.5540
-1.037186,0.126175,156.3338,62.4857
-1.037186,0.136269,156.2445,62.4124
-1.037186,0.146363,156.1560,62.3341
-1.037186,0.156457,156.0683,62.2507
-1.037186,0.166551,155.9813,62.1623
-1.037186,0.176645,155.8951,62.0688
-1.037186,0.186739,155.8097,61.9702
-1.037186,0.196833,155.7251,61.8664
-1.037186,0.206927,155.6412,61.7575
-1.037186,0.217020,155.5580,61.6434
-1.037186,0.227114,155.4756,61.5241
-1.037186,0.237208,155.3939,61.3996
-1.037186,0.247302,155.3129,61.2698
-1.037186,0.257396,155.2326,61.1348
-1.037186,0.267490,155.1530,60.9944
-1.037186,0.277584,155.0741,60.8486
-1.037186,0.287678,154.9959,60.6975
-1.037186,0.297772,154.9183,60.5410
-1.037186,0.307866,154.8414,60.3790
-1.037186,0.317960,154.7652,60.2116
-1.037186,0.328054,154.6896,60.0386
-1.037186,0.338148,154.6147,59.8601
-1.037186,0.348242,154.5403,59.6760
-1.037186,0.358336,154.4666,59.4863
-1.037186,0.368430,154.3935,59.2910
-1.037186,0.378524,154.3210,59.0900
-1.037186,0.388618,154.2490,58.8832
-1.037186,0.398712,154.1777,58.6706
-1.037186,0.408806,154.1069,58.4523
-1.037186,0.418900,154.0366,58.3417
-1.027172,-0.418900,162.5971,59.4404
-1.027172,-0.408806,162.4638,59.5387
-1.027172,-0.398712,162.3313,59.7326
-1.027172,-0.388618,162.1996,59.9210
-1.027172,-0.378524,162.0687,60.1041
-1.027172,-0.368430,161.9387,60.2817
-1.027172,-0.358336,161.8094,60.4541
-1.027172,-0.348242,161.6810,60.6211
-1.027172,-0.338148,161.5535,60.7828
-1.027172,-0.328054,161.4268,60.9392
-1.027172,-0.317960,161.3009,61.0904
-1.027172,-0.307866,161.1760,61.2364
-1.027172,-0.297772,161.0520,61.3772
-1.027172,-0.287678,160.9288,61.5128
-1.027172,-0.277584,160.8066,61.6433
-1.027172,-0.267490,160.6853,61.7687
-1.027172,-0.257396,160.5648,61.8889
